category,agency,description,locationType,address,borough,lat,lng,frequency
human,3-1-1 Call Center,People Created Noise,Bar/Restaurant,308 HOOPER STREET,BROOKLYN,40.70727996562436,-73.95387925971505,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,632 EAST 186 STREET,BRONX,40.85413749883884,-73.8869576416247,9
human,New York City Police Department,Loud Talking,Street/Sidewalk,210 RIVINGTON STREET,MANHATTAN,40.71838773242428,-73.9827708330719,6
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,52-20 ROOSEVELT AVENUE,QUEENS,40.744249565039205,-73.91218951207082,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk, MERCER STREET,MANHATTAN,40.72237990010811,-74.00049064217905,3
human,New York City Police Department,Loud Music/Party,Store/Commercial,204 EAST 112 STREET,MANHATTAN,40.79522976314325,-73.9414774517031,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,200 WEST 54 STREET,MANHATTAN,40.76365124231566,-73.98159673685389,3
human,3-1-1 Call Center,People Created Noise,Bar/Restaurant,706 WASHINGTON AVENUE,BROOKLYN,40.676890621301084,-73.96360548150025,4
human,New York City Police Department,Loud Talking,Street/Sidewalk,523 PROSPECT PLACE,BROOKLYN,40.67560176484405,-73.95897719406277,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,128 SMITH STREET,BROOKLYN,40.68727393717941,-73.99010939010812,14
human,New York City Police Department,Loud Music/Party,Store/Commercial,2151 2 AVENUE,MANHATTAN,40.79356036613689,-73.94030517482538,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,810 GERARD AVENUE,BRONX,40.82574216321642,-73.92596053576375,7
human,New York City Police Department,Loud Music/Party,Store/Commercial,721 FRANKLIN AVENUE,BROOKLYN,40.67387450461232,-73.95680081250282,6
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,241 WEST 14 STREET,MANHATTAN,40.73908173234192,-74.00091296755714,3
human,New York City Police Department,Loud Talking,Street/Sidewalk,,MANHATTAN,40.80958115130157,-73.93994762874954,3
human,3-1-1 Call Center,People Created Noise,Home,618 ACADEMY STREET,MANHATTAN,40.86504796739113,-73.92419222671695,3
human,New York City Police Department,Loud Talking,Street/Sidewalk,1460 INWOOD AVENUE,BRONX,40.84192776853217,-73.91790104327671,3
human,New York City Police Department,Loud Talking,Street/Sidewalk,,MANHATTAN,40.868113536577496,-73.91975242658049,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,QUEENS,40.58989000025901,-73.80747002139462,5
human,New York City Police Department,Loud Talking,Street/Sidewalk, HAMILTON PLACE,MANHATTAN,40.82383896974016,-73.94928924434103,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,462 ROGERS AVENUE,BROOKLYN,40.66108808123361,-73.95359401387721,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,,BROOKLYN,40.618817524606484,-74.03295890223322,3
human,New York City Police Department,Loud Music/Party,House of Worship,108-07 JAMAICA AVENUE,QUEENS,40.69564083681307,-73.8393537962677,19
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,201 AVENUE A,MANHATTAN,40.729377484571934,-73.98112633258425,5
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,729 7 AVENUE,MANHATTAN,40.76010264469332,-73.98397290408673,12
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,30 FAIRVIEW AVENUE,MANHATTAN,40.857415390337756,-73.92919322636077,6
human,New York City Police Department,Loud Talking,Street/Sidewalk,,MANHATTAN,40.7190253512577,-73.98976918244128,4
human,New York City Police Department,Loud Music/Party,Street/Sidewalk, WEST 14 STREET,MANHATTAN,40.73668272356949,-73.99522964562972,7
human,New York City Police Department,Loud Talking,Street/Sidewalk,110-45 71 ROAD,QUEENS,40.721775788341056,-73.84080600661653,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,,BROOKLYN,40.58423417971213,-73.93204260949086,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,4410 AVENUE H,BROOKLYN,40.63249702399759,-73.9339281696386,8
human,New York City Police Department,Loud Talking,Street/Sidewalk,,BROOKLYN,40.67340774573405,-73.93346945922265,3
