category,agency,description,locationType,address,borough,lat,lng,frequency
human,New York City Police Department,Loud Music/Party,Store/Commercial,248 EAST 119 STREET,MANHATTAN,40.799402400151294,-73.93748631396078,3
human,New York City Police Department,Loud Talking,Street/Sidewalk,75 WEST MOSHOLU PARKWAY NORTH,BRONX,40.88287540238971,-73.8851114395669,4
human,New York City Police Department,Loud Talking,Street/Sidewalk,2165 RYER AVENUE,BRONX,40.85455863917999,-73.90015830400407,10
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,166 2 AVENUE,MANHATTAN,40.73007267306802,-73.98658516015117,3
human,3-1-1 Call Center,People Created Noise,Bar/Restaurant,247 DYCKMAN STREET,MANHATTAN,40.86637625588829,-73.92825812322728,4
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,87 7 AVENUE SOUTH,MANHATTAN,40.7326781795197,-74.00330152188506,3
human,New York City Police Department,Loud Talking,Street/Sidewalk,467 HANCOCK STREET,BROOKLYN,40.68405118350712,-73.93692741825468,4
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,,BROOKLYN,40.68008863233147,-73.94397246540844,4
human,New York City Police Department,Loud Talking,Street/Sidewalk,222 EAST 17 STREET,BROOKLYN,40.64551221057018,-73.96331990259071,7
human,New York City Police Department,Loud Music/Party,Street/Sidewalk, WEST 114 STREET,MANHATTAN,,,3
